scenario,phase,n_steps,median_abs_x,coverage_theta_0.03,coverage_theta_0.05,coverage_theta_0.08
flat,calm,40000,0.03865703715190238,0.597275,0.382875,0.18585
bull_trap,calm,18218,0.037266221043435646,0.5793720496212537,0.3726534196948073,0.18146887693489955
bull_trap,mania,39225,0.15013376710825804,0.8850478011472276,0.8146080305927342,0.7068706182281708
bull_trap,blow-off,19418,0.36525448515739617,0.9986095375424864,0.9975795653517355,0.9949531362653208
sustained_bull,sustained-bull,40000,0.013800843219900032,0.170175,0.0397,0.0032
crash,calm,50275,0.0373215337281311,0.5814619592242666,0.370581800099453,0.1810243659870711
crash,deterioration,22157,0.04271932583541529,0.6343367784447353,0.4300221149072528,0.22859592905176693
crash,panic,33983,0.1689642934765496,0.9040696818997734,0.8426566224288615,0.7513462613659772
crash,stabilisation,53585,0.12536829345582018,0.8693664271717831,0.7869926285341047,0.6672389661285808
bull_trap,post-top,3139,0.08793331612310025,0.7648932781140491,0.6537113730487416,0.5294679834342148
flat,ALL,40000,0.03865703715190238,0.597275,0.382875,0.18585
bull_trap,ALL,80000,0.1510327753285377,0.8382875,0.7520625,0.6501875
sustained_bull,ALL,40000,0.013800843219900032,0.170175,0.0397,0.0032
crash,ALL,160000,0.07327273510352893,0.753725,0.6185375,0.47158125
