Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Model,Persona,Agent_Type,Scenario,Seed,Crash_Discount,Status
12394.4,23.94,-37.7,705,56.2,15.0,0.2156,11.0,0.2,google/gemma-2-9b-it,ENTJ,static,flat,42,0.92,PASS
10938.59,9.39,-42.5,798,50.5,15.0,0.1998,0.3,0.2,google/gemma-2-9b-it,ENTJ,memory,flat,42,0.92,PASS
10430.41,4.3,-12.68,1,98.0,15.1,0.2179,78.2,1.0,google/gemma-2-9b-it,ISFJ,static,flat,42,0.92,PASS
10000.0,0.0,0.0,0,49.8,0.0,0.0,100.0,1.0,google/gemma-2-9b-it,ISFJ,memory,flat,42,0.92,PASS
11522.64,15.23,-42.5,253,82.1,15.0,0.4967,2.5,0.5,google/gemma-2-9b-it,INTJ,static,flat,42,0.92,PASS
12094.28,20.94,-42.36,23,97.0,15.0,0.4883,4.3,0.5,google/gemma-2-9b-it,INTJ,memory,flat,42,0.92,PASS
10804.23,8.04,-46.12,661,59.8,15.0,0.192,10.1,0.2,google/gemma-2-9b-it,ENTJ,static,flat,123,0.92,PASS
9256.49,-7.44,-49.05,797,48.1,15.0,0.1999,0.3,0.2,google/gemma-2-9b-it,ENTJ,memory,flat,123,0.92,PASS
9995.61,-0.04,-12.7,1,96.8,15.0,0.2002,80.0,1.0,google/gemma-2-9b-it,ISFJ,static,flat,123,0.92,PASS
10000.0,0.0,0.0,0,51.9,0.0,0.0,100.0,1.0,google/gemma-2-9b-it,ISFJ,memory,flat,123,0.92,PASS
9636.95,-3.63,-48.97,230,84.0,15.0,0.4861,3.6,0.5,google/gemma-2-9b-it,INTJ,static,flat,123,0.92,PASS
9347.44,-6.53,-39.11,52,79.5,15.0,0.4803,31.1,0.5,google/gemma-2-9b-it,INTJ,memory,flat,123,0.92,PASS
15042.84,50.43,-37.13,681,56.8,15.0,0.1989,10.4,0.2,google/gemma-2-9b-it,ENTJ,static,flat,456,0.92,PASS
11886.8,18.87,-42.53,797,49.2,15.0,0.1999,0.3,0.2,google/gemma-2-9b-it,ENTJ,memory,flat,456,0.92,PASS
9793.49,-2.07,-10.53,1,89.1,15.0,0.1575,84.3,1.0,google/gemma-2-9b-it,ISFJ,static,flat,456,0.92,PASS
10000.0,0.0,0.0,0,50.7,0.0,0.0,100.0,1.0,google/gemma-2-9b-it,ISFJ,memory,flat,456,0.92,PASS
9661.64,-3.38,-42.53,217,82.4,15.0,0.452,13.0,0.5,google/gemma-2-9b-it,INTJ,static,flat,456,0.92,PASS
9292.69,-7.07,-39.31,12,88.6,15.0,0.3978,30.5,0.5,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,PASS
