scope,population,feature_set,theta,n_resolvable,n_rows,n_paths,coverage,sign_acc,sign_lo,sign_hi
pooled,all,full,0.01,262395,288000,1600,0.91109375,0.7272851997942034,0.717854535794544,0.7368924088592858
pooled,all,full,0.02,236845,288000,1600,0.8223784722222223,0.7472102007642129,0.7371757123775368,0.7570015468914507
pooled,all,full,0.03,213850,288000,1600,0.7425347222222223,0.7658358662613982,0.7556816429017044,0.7755270785764768
pooled,all,full,0.04,191802,288000,1600,0.6659791666666667,0.783203511955037,0.7732606917542032,0.7931648115706078
pooled,all,full,0.05,171916,288000,1600,0.5969305555555555,0.800483957281463,0.7908121614563997,0.8101853065928672
pooled,all,full,0.06,155158,288000,1600,0.5387430555555556,0.8173668131839802,0.8079554240163545,0.8275439540712239
pooled,all,full,0.08,128183,288000,1600,0.4450798611111111,0.8423503896772583,0.8327110105526568,0.8522685987619603
pooled,all,full,0.1,107665,288000,1600,0.37383680555555554,0.8643570333906098,0.8542514167970867,0.8750561779074505
pooled,all,full,0.12,92585,288000,1600,0.32147569444444446,0.8828859966517254,0.8729745109058508,0.8934084911176673
pooled,all,full,0.15,75576,288000,1600,0.2624166666666667,0.904414099714195,0.8942473511081234,0.914606676203601
pooled,all,full,0.2,55953,288000,1600,0.19428125,0.922881704287527,0.9120646688102951,0.9332813369368339
pooled,all,full,0.25,41460,288000,1600,0.14395833333333333,0.9366377231066088,0.9258251590049517,0.9470064904269992
pooled,all,full,0.3,29142,288000,1600,0.1011875,0.9469151053462357,0.9360859929030395,0.9582058526120911
pooled,calm,full,0.01,102149,119336,1200,0.8559780787021519,0.6287188322940019,0.6128686621185406,0.6447715501400187
pooled,calm,full,0.02,84854,119336,1200,0.7110511496949788,0.6468875951634573,0.6299454526103913,0.6645930522902178
pooled,calm,full,0.03,69874,119336,1200,0.585523228531206,0.6626499127000028,0.6439107403467617,0.6807336620746434
pooled,calm,full,0.04,55579,119336,1200,0.4657354025608366,0.6743014447902985,0.6542668522893047,0.6946628127338941
pooled,calm,full,0.05,43344,119336,1200,0.36320976067573907,0.6848929494278332,0.6637758928541092,0.7067030670456195
pooled,calm,full,0.06,33839,119336,1200,0.28356070255413285,0.6980407222435652,0.6752245331469006,0.7216440740388017
pooled,calm,full,0.08,20216,119336,1200,0.1694040356640075,0.7042441630391769,0.6745486327700624,0.7330820456225847
pooled,calm,full,0.1,11407,119336,1200,0.09558724944693973,0.7125449285526431,0.6787199763262831,0.7481294531918297
pooled,calm,full,0.12,6751,119336,1200,0.056571361533820474,0.7314471930084432,0.692291670905133,0.7746843518894747
pooled,calm,full,0.15,3352,119336,1200,0.028088757793121942,0.7884844868735084,0.738011006090459,0.8412124977083675
pooled,calm,full,0.2,1089,119336,1200,0.009125494402359723,0.8797061524334252,0.8040153988200701,0.9434237850118626
pooled,calm,full,0.25,365,119336,1200,0.003058590869477777,0.9616438356164384,0.8973964207835176,1.0
pooled,calm,full,0.3,136,119336,1200,0.001139639337668432,1.0,1.0,1.0
bull_trap,all,full,0.01,68932,72000,400,0.9573888888888888,0.8322404688678697,0.8181836052234464,0.8476216797616176
bull_trap,all,full,0.02,65780,72000,400,0.9136111111111112,0.8456065673456978,0.8319521667496913,0.8599990046568324
bull_trap,all,full,0.03,63009,72000,400,0.875125,0.8562268882223174,0.8420266326695055,0.870439042429931
bull_trap,all,full,0.04,60218,72000,400,0.8363611111111111,0.8654222989803713,0.8512037709360101,0.879642528255236
bull_trap,all,full,0.05,57592,72000,400,0.7998888888888889,0.8742360050006945,0.8600360250994632,0.888729531862366
bull_trap,all,full,0.06,55167,72000,400,0.7662083333333334,0.8812152192433883,0.8672280769057537,0.8960298905062911
bull_trap,all,full,0.08,50836,72000,400,0.7060555555555555,0.888287827523802,0.8742595827820587,0.903532746545588
bull_trap,all,full,0.1,47242,72000,400,0.6561388888888889,0.8940561364887176,0.8803236451665974,0.9091824135969784
bull_trap,all,full,0.12,44209,72000,400,0.6140138888888889,0.8988215069329775,0.88464736770692,0.9134619716321386
bull_trap,all,full,0.15,40207,72000,400,0.5584305555555555,0.903300420324819,0.8885284334757638,0.9180323317164035
bull_trap,all,full,0.2,34174,72000,400,0.4746388888888889,0.9077954000117048,0.8923478459683,0.9230569355218181
bull_trap,all,full,0.25,27882,72000,400,0.38725,0.9185496018936948,0.903233955342769,0.9337943098249484
bull_trap,all,full,0.3,20662,72000,400,0.28697222222222224,0.9293388829735747,0.9122969100663272,0.9448903881995231
bull_trap,calm,full,0.01,10080,11681,200,0.8629398167965071,0.6365079365079365,0.5934002240445526,0.6709390224007381
bull_trap,calm,full,0.02,8368,11681,200,0.7163770225151956,0.6591778202676865,0.6098046144827456,0.6978183849822357
bull_trap,calm,full,0.03,6860,11681,200,0.5872784864309563,0.6763848396501457,0.6220213244864327,0.718493643947727
bull_trap,calm,full,0.04,5425,11681,200,0.4644294152897868,0.6906912442396314,0.6346031618658042,0.7362698384195215
bull_trap,calm,full,0.05,4172,11681,200,0.35716120195188766,0.7080536912751678,0.649709971065432,0.7596363780243698
bull_trap,calm,full,0.06,3203,11681,200,0.2742059755157949,0.7205744614423978,0.6543072432887751,0.776788134846361
bull_trap,calm,full,0.08,1835,11681,200,0.15709271466484034,0.7237057220708447,0.6350342583076396,0.7929734273988772
bull_trap,calm,full,0.1,951,11681,200,0.08141426247752762,0.7339642481598317,0.6144138729033976,0.8271076249642627
bull_trap,calm,full,0.12,535,11681,200,0.045800873212909855,0.7700934579439253,0.6329939186295503,0.8792760178039475
bull_trap,calm,full,0.15,246,11681,200,0.021059840767057615,0.8495934959349594,0.6997586528440568,0.9786830357142856
bull_trap,calm,full,0.2,64,11681,200,0.005478982963787347,0.9375,0.84,1.0
bull_trap,calm,full,0.25,13,11681,200,0.0011129184145193048,0.9230769230769231,0.8564285714285714,1.0
bull_trap,calm,full,0.3,2,11681,200,0.0001712182176183546,,,
crash,all,full,0.01,131910,144000,800,0.9160416666666666,0.7311500265332423,0.7218277749074535,0.7405297088537138
crash,all,full,0.02,119710,144000,800,0.8313194444444445,0.7498371063403224,0.7398803480797459,0.7595473954832158
crash,all,full,0.03,108528,144000,800,0.7536666666666667,0.7674885743771193,0.7573731898008098,0.7773638369881953
