ticker,period,n,converged,alpha,gamma,beta,nu,omega,persistence,uncond_sd,loglik,mu,sample_sd,set,reason
A,full,6288,True,0.022280369276427067,0.05401900915674738,0.9450915455788353,4.730740039601513,0.028642938625180997,0.9943814194336361,0.022578520463034907,-12998.781782831888,0.0008641171720823289,0.02548116928010041,A,
A,2000-07,2009,True,0.01146461388792167,0.00849747359191672,0.9832586672000114,4.164980488516875,0.0010647525227091281,0.9989720178838914,0.01017727615961319,-4744.47958969052,0.0005443192987153677,0.03492456659978304,A,
A,2008-12,1259,True,0.0,0.1055775176341706,0.9332689079276272,6.99019514948903,0.07241068805563657,0.9860576667447125,0.02278943758725965,-2773.705692657982,0.0007882396462722607,0.025624502413286843,A,
A,2013-19,1762,True,0.03202183975603677,0.15049580499392665,0.7396323275857225,4.931259685311169,0.3151964095030708,0.8469020698387226,0.014348482462090221,-3003.768262530514,0.0009809046203492445,0.0144077286157785,A,
A,2020-24,1258,True,0.01723606795620687,0.07008481433250853,0.931438592802641,5.146728593428025,0.05604080074411047,0.983717067925102,0.018551791745744048,-2438.776253250404,0.0008547497768455451,0.018679576702592425,A,
AAPL,full,6288,True,0.045554704038625465,0.06493966994973155,0.917101460829348,4.968624446423757,0.04882721128371765,0.9951259998428392,0.03165105502422388,-13165.933221302272,0.0013572018238300642,0.025249080083282104,A,
AAPL,2000-07,2009,True,0.0035655050713479307,-0.0016158956415966565,0.9936191237129648,5.650378500477175,0.019075645526797243,0.9963766809635144,0.022944908698780055,-4909.21873312476,0.0014638185353054362,0.034426536082532676,A,
AAPL,2008-12,1259,True,0.02295500186712721,0.1352338641143752,0.8834354635388114,8.44268080075275,0.11664366117245817,0.9740073974631263,0.021183888817903684,-2631.8967939018166,0.001595360580627541,0.023394496382112693,A,
AAPL,2013-19,1762,True,1.1746030943264563e-12,0.17219406079362523,0.8575058297254404,4.266233415161687,0.14355362012069164,0.9436028601234276,0.01595432867161502,-3080.6131267013625,0.0012558259023390847,0.01577904805484948,A,
AAPL,2020-24,1258,True,0.04386284751706282,0.07094946807406147,0.9013761773806965,5.878066922867125,0.07613754031026686,0.9807137589347901,0.019868982433294168,-2467.3539342972313,0.0011666364737477702,0.019933584055774747,A,
ABT,full,6288,True,0.025403382700705995,0.06277028183794245,0.9299664081332243,5.1785517649808135,0.029224009978336716,0.9867549317529015,0.01485397892999065,-10528.884508481593,0.00048481148029118766,0.015187920135636383,A,
ABT,2000-07,2009,True,0.0008099011748997424,0.03530621123395497,0.9774214571013458,5.398055670199605,0.008505752871509559,0.9958844638932229,0.0143761690860991,-3607.7429503997896,0.00025654499271324216,0.01732437792708621,A,
ABT,2008-12,1259,True,0.036862687248630614,0.05831050018266945,0.9195156222035519,6.540760093857412,0.022790073783671757,0.9855335595435172,0.012551395762880564,-1950.485074479419,0.00043965809541001517,0.013490312566313417,A,
ABT,2013-19,1762,True,0.0,0.1217632521105858,0.8832986964351452,4.72154181764987,0.08442596440769576,0.9441803224904382,0.012298279349881732,-2733.8384280011446,0.0008288431118076685,0.012557514690005005,A,
ABT,2020-24,1258,True,0.05186011559705239,0.07652093065930356,0.8718525656994583,5.310740427091886,0.09511526846851544,0.9619731466261625,0.015815390658807733,-2206.4206481616557,0.0002705140012318651,0.01644871207008513,A,
ACGL,full,6288,True,0.03576956628820031,0.05918975460854908,0.9240706764438639,5.1032517370049835,0.025966719418736274,0.9894351200363387,0.01567748013308705,-10535.467523316493,0.0007034724983115802,0.01659829302189591,A,
ACGL,2000-07,2009,True,0.0017211914709168302,0.035135444177220594,0.9745619545277058,4.168231058724958,0.016046096635061294,0.9938508680872329,0.01615391512854717,-3567.4268255953907,0.0005600184281340466,0.017456429348378058,A,
ACGL,2008-12,1259,True,0.0453745075114151,0.05271023755437679,0.9188744353518129,7.2397241863484085,0.02044445155594138,0.9906040616404164,0.014750870585748444,-2128.896399626935,0.0006188876500523786,0.017192451923858355,A,
ACGL,2013-19,1762,True,0.13915991940236488,0.07809240858524942,0.4647901778470538,4.7664134584539255,0.3622055633110012,0.6429963015420433,0.010072591022455673,-2353.901486673075,0.0007874070341369125,0.009823177885662775,A,
ACGL,2020-24,1258,True,0.0680395524905346,0.13546054753388437,0.80426814921379,6.852117898028445,0.20223030180522894,0.9400379754712668,0.018364747905774744,-2435.5187397379595,0.0011088027353358691,0.021432410392392777,A,
ADBE,full,6288,True,0.02018539290699183,0.05903119326578612,0.9469601474923734,4.3354604213335755,0.029028538526470894,0.9966611370322583,0.02948582529792839,-13444.996482593513,0.001055269081182785,0.026851066859100773,A,
ADBE,2000-07,2009,True,0.005438469083526241,0.016379928832677783,0.9835610035811375,5.145283904379562,0.010747928865791047,0.9971894370810026,0.019555356408857173,-4824.052728597853,0.0004137090086173092,0.034949817041734145,A,
ADBE,2008-12,1259,True,0.01613752865370536,0.08966916413547527,0.9207108902513147,5.187729121695616,0.10140682187717871,0.9816830009727577,0.023529160100200643,-2748.0678913775873,0.0004348800422280344,0.02588764284702379,A,
ADBE,2013-19,1762,True,0.018115156137311857,0.2059225048852607,0.8423735856623275,3.9348783303672965,0.13518792943697117,0.9634499942422696,0.019232034674051834,-3089.333531536171,0.0012208746326700774,0.01631868194016948,A,
ADBE,2020-24,1258,True,0.1170972405507319,0.02025119158465766,0.8000916230817916,3.9422357768963128,0.4852087518887052,0.9273144594248524,0.02583689382694587,-2725.593267245751,0.0015105321881326616,0.02466155937788092,A,
ADI,full,6288,True,0.012783761641211571,0.07528071227506214,0.9465039152655835,6.320066955400708,0.023586019663976117,0.9969280330443262,0.02770888551247803,-13231.938357557407,0.000317221598114034,0.025508162337365452,A,
ADI,2000-07,2009,True,0.025100213099231147,0.029080326305558922,0.9599842186351241,8.026293845630812,0.008273322359996055,0.9996245948871347,0.046945058175857576,-4854.109786318468,-0.00040948070429635094,0.03486594297127662,A,
ADI,2008-12,1259,True,6.68759529001824e-10,0.08139302560733863,0.9538572111148033,8.58928307125298,0.02559574571954257,0.9945537245872321,0.02167874284737497,-2580.3023520086927,0.00033293569103518857,0.021572883731400178,A,
ADI,2013-19,1762,True,0.010305369082686465,0.12309708723421912,0.8939992606746059,4.1424636510282316,0.09962581669900378,0.9658531733744019,0.017080900882364948,-3123.053388534344,0.0007083758170250058,0.015708374957110336,A,
ADI,2020-24,1258,True,0.01290091130357916,0.07831621841348342,0.9186447517238014,7.000184566087973,0.12152366445618194,0.9707037722341223,0.020366883383701743,-2631.366015196854,0.0005155468554931712,0.022338261470107684,A,
ADM,full,6288,True,0.057456287063038416,0.01808242232108167,0.9153664474020871,4.442639248363084,0.06697345374430413,0.9818639456256664,0.019216750131135628,-11922.201233939059,0.0006486443908619908,0.019347608957537756,A,
ADM,2000-07,2009,True,0.012467989734829538,-0.010947514076948769,0.9915963254542444,5.309249937833449,0.002970889521061082,0.9985905581505995,0.014518430492268801,-3994.0312966792953,0.0006639826289661424,0.019283543749641988,A,
