[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=True | observables=multiple=B eps=v21 dividend=v21/shown analyst=C/shown sentiment=A volume=A
# E5.7(b) L1 extended candidate set -- final (Phase 5 hand-over)

Panel `docs\env_v2\generated\v2_1\_panels\sep_phase5_after.pkl`, 1600 paths / 320000 rows; in-sample; k log-median-optimal; 500-resample path bootstrap on the within-5 % share.

| candidate | median APE | within 1 % | within 2 % | within 5 % [CI] | above floor |
|---|---|---|---|---|---|
| k*price | 0.0626 | 0.0949 | 0.1902 | 0.4261 [0.4149, 0.4364] | 0.9051 |
| lsq(price+F) | 0.0661 | 0.0882 | 0.1728 | 0.3994 [0.3892, 0.4106] | 0.9118 |
| lsq(price+P/PE+F) | 0.0661 | 0.0833 | 0.1635 | 0.3771 [0.3882, 0.4108] | 0.8605 |
| lsq(price) | 0.0662 | 0.0870 | 0.1714 | 0.3973 [0.3868, 0.4081] | 0.9130 |
| lsq(price+P/PE) | 0.0663 | 0.0822 | 0.1631 | 0.3761 [0.3874, 0.4099] | 0.8616 |
| lsq(price+P*DY+F) | 0.0665 | 0.0744 | 0.1474 | 0.3453 [0.3846, 0.4083] | 0.7975 |
| lsq(price+P/PE+P*DY) | 0.0665 | 0.0692 | 0.1373 | 0.3232 [0.3816, 0.4059] | 0.7517 |
| lsq(price+P*DY) | 0.0668 | 0.0742 | 0.1470 | 0.3434 [0.3827, 0.4055] | 0.7977 |
wrote docs/env_v2/generated/v2_1/e5_7b/final/l1ext.json in 14 s
